ID,last_reviewed,product,description,url,image,image_name,image_permission_granted,contacted,image_contact,Category,codebook_category,codebook_sub_category,compatible_OS,target_demographic,coding_language,company,cost_low,cost_high,classroom_kit_cost,amazon_url,msrp,title_image,action_image,available,curricula,notes,entered into db,reviewed
,,ActivityBot 360º,"A small robot with a single propeller multicore brain. Programmed in BlocklyProp or C, this kit has an extended set of project tutorials and accessories provide a robot suitable for middle schoolers and university students. ",https://www.parallax.com/activitybot-360/,,,,,,,Hardware,Robotics,"Windows, Mac, ChromeOS",9-12,"Blockly, C",Parallax,$250.00,$350.00,,,,ActivityBot360º-title.png,ActivityBot360º-action.png,TRUE,,,FALSE,KD
400,2/4/2021,Adacraft,"Scratch derivative (HTML5 compliant) that extends scratch with machine learning and other more advanced tools, especially for augmented reality applications.",https://adacraft.org/,,,,,,,Software,General Environment,"Windows, Mac, Linux, iOS, Android",3-5; 6-8; 9-12,Scratch Derivative,MIT ,$0.00,$0.00,,,,Adacraft-title.png,Adacraft-action.png,TRUE,,,FALSE,KD 
402,,Adventure Kit 30 Days Lost In Space,"Arduino-based kit that comes with a breadboard, LEDs, resistors, a digital display, a potentiometer, over a dozen buttons and more.  The kit comes with daily challenges via a free online platform that houses numerous videos.",https://www.radioshack.com/products/inventrkits-adventure-kit-30-days-lost-in-space,,,,,,,Hardware,"Microcontrollers, Microprocessors","Windows, Mac, Linux",9-12,C++,InventrKits LLC,$60.00,$75.00,,,,Adventure_Kit_30_Days Lost_In_Space-title.png,Adventure_Kit_30_Days Lost_In_Space-action.png,TRUE,,,FALSE,KD 
1,3/13/2020,AgentCubes,"Originally AgentSheets, AgentCubes is a drag and drop programming interface focused on building simulations to explore complex ideas and games. It uses ""Conversational Programming"" technology to help programmers understand their code. Creations can be shared easily as Java applets. Agentcubes allows for 3D programming. At the the blink of an eye these simulations can be compiled by the Ristretto compiler directly into Java applets that can be embedded into web pages. Subscription-based (monthly $9, quarterly $21 or annual $60)
",http://www.agentsheets.com/products/index.html,https://commons.wikimedia.org/wiki/File:AgentCubes_user_interface.png,,,,,,Software,Software/Game Development Kit,"Windows, Mac", 3-5; 6-8; 9-12,Objects,"AgentSheets, Inc",$60.00,$108.00,,,,AgentCubes-title.png,AgentCubes-action.png,TRUE,,,FALSE,KD 
414,4/2/2021,Algoblocs,An online programming environment that teaches coding through manipulating virtual blocks. It purports to teaching coding through programming+geometry.  Algoblocs is only available in French,https://www.algoblocs.fr/,,,,,,,Software,General Environment,"Windows, Mac, Linux",6-8; 9-12,Blockly,Algoblocs ,$0.00,$0.00,,,,Algoblocs-title.jpeg,Algoblocs-action.jpeg,TRUE,,,FALSE,KD
4,3/13/2020,Algobrix,"Build code with LEGO compatible building blocks and watch your robot follow your commands. This system teaches loops, navigation, pointers, parameters, algorithmic thinking, LED and motors, touch and light sensors, if-then, and multithreading.",http://www.algobrix.com/,http://www.youngeng.net/enrichment-programs-company/young-engineers-groups/,Algobrix.png,,,,,Hardware,Robotics,N/A,3-5; 6-8; 9-12,Lego-linking physical Proprietary Blocks ,Algobrix ltd,$169.00,$599.00,"$3,169.00",,,Algobrix-title.png,Algobrix-action.png,FALSE,,Unavailable at the moment ,FALSE,KD 
2,3/13/2020,Alice,"A drag and drop coding language used to program 3D objects, objects have preset motions and actions that can easily be used by beginner level students. The coding language can be made to look similar to Java script syntax",http://www.alice.org/index.php,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.sciencebuddies.org%2Fscience-fair-projects%2Freferences%2Fgetting-started-with-storytelling-alice&psig=AOvVaw1fbegduk9cmvx04OyWD01-&ust=1587822143544000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCMiZ78qYgekCFQAAAAAdAAAAABAJ,,,,,,Software,Software/Game Development Kit,"Windows, Mac, Linux",K-2; 3-5; 6-8; 9-12,Java,Carnegie Mellon University,$0.00,$0.00,,,,Alice-title.png,Alice-action.jpg,TRUE,http://www.alice.org/resources/,Available for educators or home,FALSE,KD
198,3/18/2020,Anki Cozmo,"Anki has programmed the robot with what it calls an emotion engine. That means Cozmo can react to situations as a human would, with a full range of emotions from happy and calm to frustrated and bold. ... The robot can employ facial recognition to remember faces and recite names.",https://anki.com/en-us/cozmo.html,https://revoit-asia.com/products/anki-cozmo,Anki_Cozmo.jpg,,,,,Hardware,Robotics,"Android, iOS",3-5; 6-8; 9-12,Proprietary Blocks,Anki,$220.00,$356.00,,https://www.amazon.com/Anki-Cozmo-Educational-Robot-Kids/dp/B074WC4NHW/ref=sr_1_2?dchild=1&keywords=anki+cozmo&qid=1588632749&sr=8-2,,Anki_Cozmo-title.jpg,Anki_Cozmo-action.png,TRUE,,,FALSE,KD
5,3/13/2020,Antbo,"A programmable robot for kids, using 3 servo motors, that walks like an ant.  Can upload data (e.g., distance, accomplishments) using wi-fi.  You can order parts to upgrade and extend the robot.  It's expected to start shipping in November, 2016.",https://www.businessinsider.com/a-new-robotic-pet-called-antbo-launches-2016-4,https://www.businessinsider.com/a-new-robotic-pet-called-antbo-launches-2016-4,Antbo_Robot.jpg,,,,,Hardware,Robotics,"Windows, Mac, Linux",K-2; 3-5; 6-8,"Scratch, WhenDo, Java",DFRobot,$59.00,$59.00,,,,Antbo-title.png,Antbo-action.png,TRUE,,,FALSE,KD 
6,3/13/2020,App Lab,"A branch of code.org which allows students to create their own apps in a simple block programming environment. Students can easily switch from block coding to JS to understand how their commands translate. For a detailed post of all of App Lab's features, see https://medium.com/@okaycoder/learning-to-program-with-applab-a-brilliant-new-tool-from-code-org-b79235dacdf1",https://code.org/educate/applab,https://www.google.com/url?sa=i&url=https%3A%2F%2Fstudio.code.org%2Fs%2Fapplab-intro%2Freset&psig=AOvVaw2sjlFUfc3DP3BchtNL9ryU&ust=1587823910300000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCOis0JefgekCFQAAAAAdAAAAABAV,,,,,,Software,Software/Game Development Kit,"Windows, Mac, Linux, iOS, Android",6-8; 9-12 ,"HTML, CSS, Javascript",code.org,$0.00,$0.00,,,,App_Lab-title.png,App_Lab-action.png,TRUE,https://studio.code.org/s/csp3,,FALSE,KD
217,4/6/2020,Arcade Coder,"This educational games console teaches kids aged 6-12+ about games design, creativity, collaborative play, coding and animation.",https://www.kickstarter.com/projects/techwillsaveus/arcade-coder,,,,,,,Hardware,Tangible Computing,iOS,K-2; 3-5,Blockly,TechWillSaveUs,$90.00,$160.00,,,,Arcade_Coder-title.jpg,Arcade_Coder-action.jpg,TRUE,,Cheaper on Amazon.,FALSE,KD
